LATITUDE,LONGITUDE,YIELD_(lpm)
25.20555556,81.50972222,900
25.16666667,81.58333333,252
25.21666667,81.67222222,100
25.10972222,81.70277778,750
25.08333333,81.73333333,450
25.1783935,81.6265971,300
25.2099738,81.6391263,100
25.2125,82.075,1900
25.05,82.2,1130
25.20277778,81.78055556,170
25.05,81.88333333,590
25.14166667,82.10833333,1350
25.15,81.99166667,1450
25.025,82.16666667,926
25.14444444,81.90277778,770
25.09444444,81.93055556,107
25.175,81.94166667,450
24.9668982,82.0638669,56
24.9916666,82.075,340
24.9416832,82.0468432,960
25.1046225,82.1332818,700
